"schema_name","table_name"
"dbo","tblBosTrainObjectData"
"dbo","tblCISRouteAttributes"
"dbo","tblCISTrackAttributes"
"dbo","tblCodeBitAssignments"
"dbo","tblCodeFunctionDefaults"
"dbo","tblCodeLines"
"dbo","tblCodeStations"
"dbo","tblCompBaseStations"
"dbo","tblCompControlPoints"
"dbo","tblCompSignals"
"dbo","tblCompTracks"
"dbo","tblCompTracksTemporarySpeedRestriction"
"dbo","tblCompWeatherStations"
"dbo","tblDefectDetectorAlarm"
"dbo","tblDelayCodes"
"dbo","tblDispatchablePoints"
"dbo","tblDispatchablePointTypes"
"dbo","tblETGControlPointAttributes"
"dbo","tblGauntletTracks"
"dbo","tblHighwayCrossingsMandatoryDirectivesCompTrack"
"dbo","tblMDMRepoGroups_SystemFileImagesPTC_link"
"dbo","tblMisrouteProtection"
"dbo","tblSpeedRestrictionReasonCodes"
"dbo","tblSwitchAndSignalRules"
"dbo","tblSystemBadOrderCodes"
"dbo","tblSystemBadOrdersCodes"
"dbo","tblSystemChangeEvents"
"dbo","tblSystemCrewTrainRoutes"
"dbo","tblSystemDispatchableStations"
"dbo","tblSystemFileImagesPTC"
"dbo","tblSystemGISTrackPoints"
"dbo","tblSystemGroupedRoutes"
"dbo","tblSystemHomeRoadCode"
"dbo","tblSystemMessages"
"dbo","tblSystemPlatformMessageLibrary"
"dbo","tblSystemSignalRoutes"
"dbo","tblSystemSubdivisionMileageRangeJunctionPoints"
"dbo","tblSystemSubdivisionMileageRanges"
"dbo","tblSystemSubdivisionStations"
"dbo","tblSystemTimeTableStations"
"dbo","tblSystemTrackMileageSegments"
"dbo","tblSystemTrackRoutes"
"dbo","tblSystemTrainType"
"dbo","tblSystemWorkStations"
"dbo","tblTerritoryControlPointAssignments"
"dbo","tblTrackRestrictionCodes"
"dbo","tblTrainConsistCodes"
"dbo","tblTrainCrewCodes"
"dbo","tblTrainGraphView"
"dbo","tblTrainInterfaceImportConfiguration"
"dbo","tblTrainMovementPlans"
"dbo","tblTrainPlanSchedule"
"dbo","tblTrainsScheduleTripLinks"
"dbo","tblTrainSymbolManagementList"
"dbo","tblTrainTripCycles"
"dbo","tblTrainUnitFailureCodes"
"dbo","tblTroubleReportFailureCodes"
"dbo","tblViewDispatcherAssignments"
"dbo","tblWCCRouteDetails"
"dbo","tblWCCRoutePSGRPlatformMap"
"dbo","tblWCCRouteTripMap"
