"CodeLineNumber","ControlPointNumber","CodeStationNumber","LineOrder","StationName","ControlAddress","IndicationAddress","NumberOfControls","NumberOfIndications","SetupParameterString","NetworkPortalPrimary","NetworkPortalSecondary","NetworkPortalTertiary","NetworkPortalAddress","PrivateKey","NetworkPrimaryID","NetworkSecondaryID","SBDMode","UID","LayerFourAckProcessingEnable","ControlPointStatusProcessingEnabled","ManualDisableStation","EnableCRCCalculationPriorToMask","WaysideATCSAddress","WaysideEMPAddress","WaysideConfigurationCRC","WaysideSecurityKey","WaysideBeaconFlag","WebPollIntervalSeconds","NMSEnabled","WebPollTabName","StationFailed"
"14","200009","1","8","MELROSE","32","32","48","48","","PORT-32","NONE","NONE","32","NONE","32","32","False","00285F35-4C94-49DD-96A2-50CF33638F3E","False","False","False","False",,,,,,"0","False",,"False"
"15","200010","1","7","ANGEL","30","30","48","48","","PORT-30","NONE","NONE","30"," ","30","30","False","09A7A60C-7CD5-4BBB-BB67-D7996BCD51A4","False","False","False","False",,,,,,"0","False",,"False"
"5","100010","1","105","CP SORRENTO","73405050760202","73405050760202","24","24","","","","","","","","","False","0C3F1311-BD99-4862-B385-5AF7CA9ED799","False","False","False","False",,,,,,"0","False",,"False"
"27","200027","1","2","YARD","4","4","48","48","","PORT-04","NONE","NONE","4","","4","4","False","10BF258A-A5B7-4027-B814-72DDF584742F","False","False","False","False",,,,,,"0","False",,"False"
"5","100022","1","85","CP VALLEY","73405050650202","73405050650202","8","16","","","","","","","","","False","12B7B544-2A76-4E73-AEA7-076AD4FAD0CF","False","False","False","False",,,,,,"0","False",,"False"
"12","200006","1","2","RANCHO","36","36","48","48","","PORT-36","NONE","NONE","36"," ","36","36","False","13B7B847-CE55-40E9-8E1F-22DA56609C8F","False","False","False","False",,,,,,"0","False",,"False"
"13","200007","1","1","SCHOOL","34","34","48","48","","PORT-34","NONE","NONE","34"," ","34","34","False","14114B55-30F1-4DED-B1BE-24A3A0B6F583","False","False","False","False",,,,,,"0","False",,"False"
"17","200012","1","5","ESCON","26","26","48","48","","PORT-26","NONE","NONE","26"," ","26","26","False","1884EBF7-523B-4DBA-8984-59A210140FD5","False","False","False","False",,,,,,"0","False",,"False"
"5","100000","1","55","CP CARL","73405050580202","73405050580202","8","16","","","","","","","","","False","1BF3E9AB-2AB2-49C7-A800-33FA79CB3331","False","False","False","False",,,,,,"0","False",,"False"
"5","100033","1","150","CP ASH","73405050940202","73405050940202","24","48","","","","","","","","","False","24C661AA-C532-49D7-B03E-EF8C865A51A5","False","False","False","False",,,,,,"0","False",,"False"
"26","200026","1","3","HOLDOUT","6","6","48","48","","PORT-06","NONE","NONE","6"," ","6","6","False","271B14FF-B14C-4E8F-861E-624D1142C069","False","False","False","False",,,,,,"0","False",,"False"
"6","200000","1","8","OCEAN TC","48","48","48","48","","PORT-48","NONE","NONE","48"," ","48","48","False","29F3CE98-3C48-4FD9-934A-F70FB42F1AE6","False","False","False","False",,,,,,"0","False",,"False"
"5","100002","1","10","CP DON","73405050250202","73405050250202","24","24","","","","","","","","","False","2C79ADD4-7922-4056-B52B-A978F50805E1","False","False","False","False",,,,,,"0","False",,"False"
"5","100006","1","25","CP MESA","73405050360202","73405050360202","24","24","","","","","","","","","False","2CFCC3D7-BC23-4F7C-8F4D-C4C5A31EC623","False","False","False","False",,,,,,"0","False",,"False"
"8","200004","1","6","WYE","44","44","48","48","","PORT-44","NONE","NONE","44"," ","44","44","False","3B675980-B041-4683-9A45-DB248AC87807","False","False","False","False",,,,,,"0","False",,"False"
"18","200013","1","4","AVENUE","24","24","24","48","","PORT-24","NONE","NONE","24"," ","24","24","False","40DD4337-9C17-420F-8785-D6FCE135A59F","False","False","False","False",,,,,,"0","False",,"False"
"5","100001","1","5","CP SONGS","73405050200202","73405050200202","16","16","","","","","","","","","False","423EF1C3-695E-4D68-A6B5-6C90F5C01CE3","False","False","False","False",,,,,,"0","False",,"False"
"9","200005","1","5","CROUCH","42","42","48","48","","PORT-42","NONE","NONE","42"," ","42","42","False","44514544-D9B3-46D9-920E-20CB6F4643F4","False","False","False","False",,,,,,"0","False",,"False"
"25","200025","1","4","NORDAHL","8","8","48","48","","PORT-08","NONE","NONE","8"," ","8","8","False","478D1F29-CD03-44DE-A090-0F4A63AD802B","False","False","False","False",,,,,,"0","False",,"False"
"20","200016","1","2","MISSY","20","20","48","48","","PORT-20","NONE","NONE","20"," ","20","20","False","4F62EBAA-CCF2-419B-B4B7-9384EF03E25B","False","False","False","False",,,,,,"0","False",,"False"
"5","100016","1","50","CP LONGBOARD","73405050560202","73405050560202","8","16","","","","","","","","","False","55B0BC64-2174-4E8D-AB6E-0313ED10B5E0","False","False","False","False",,,,,,"0","False",,"False"
"5","100023","1","90","CP CROSBY","73405050670202","73405050670202","8","16","","","","","","","","","False","5609D473-970A-41A8-AE92-9242BC8C6837","False","False","False","False",,,,,,"0","False",,"False"
"5","100018","1","65","CP PONTO","73405050610202","73405050610202","8","16","","","","","","","","","False","5B81534F-9667-42BE-AD0B-492C9A85D33C","False","False","False","False",,,,,,"0","False",,"False"
"5","100003","1","15","CP PULGAS","73405050270202","73405050270202","16","16","","","","","","","","","False","60FA44F1-7CD3-4558-82E4-4A29C95FFB4F","False","False","False","False",,,,,,"0","False",,"False"
"5","100025","1","100","CP TORREY","73405050740202","73405050740202","24","24","","","","","","","","","False","66103732-B5A6-40CE-9CFE-E5909930AC62","False","False","False","False",,,,,,"0","False",,"False"
