"TRUID","TRCode","TRDescription","TRType"
"1","BC","BALLAST CONDITION",
"3","RC","BRIDGE CONDITION",
"4","BR","BROKEN RAIL",
"5","BT","BUCKLED TRACK",
"6","CC","CULVERT CONDITION",
"7","DF","DEFECTIVE FROG",
"8","DR","DEFECTIVE RAIL",
"10","DD","DERAILMENT DAMAGE",
"11","DE","DESIGN ELEVATION",
"12","DS","DESIGN SPEED",
"15","GC","GAUGE CONDITION",
"16","HW","HIGH WATER",
"17","JB","JOINT BAR AREA",
"18","LS","LANDSLIDE",
"19","MT","MATERIAL ALONG SIDE OF TRACK",
"20","MS","MUD SLIDE",
"21","NG","NARROW GAUGE",
"22","OM","OTHER MAINTAINENCE",
"26","RC","RAIL CONDITION",
"29","RT","ROUGH TRACK",
"30","SC","SHORT CIRCUIT APPROACH",
"31","SA","SLIDE ACTIVITY",
"33","SR","SPERRY RAIL",
"34","SK","SUN KINK",
"35","SC","SURFACE CONDITION",
