"database","schema","table","column","ordinal","data_type","is_nullable"
"tmdsDatabaseStatic","dbo","tblSystemSubdivisionStations","UID","1","int","NO"
"tmdsDatabaseStatic","dbo","tblSystemSubdivisionStations","ControlPoint","2","int","YES"
"tmdsDatabaseStatic","dbo","tblSystemSubdivisionStations","Name","3","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblSystemSubdivisionStations","Type","4","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblSystemSubdivisionStations","LX","5","smallint","YES"
"tmdsDatabaseStatic","dbo","tblSystemSubdivisionStations","LY","6","smallint","YES"
"tmdsDatabaseStatic","dbo","tblSystemSubdivisionStations","RX","7","smallint","YES"
"tmdsDatabaseStatic","dbo","tblSystemSubdivisionStations","RY","8","smallint","YES"
"tmdsDatabaseStatic","dbo","tblSystemSubdivisionStations","LeftLink","9","int","YES"
"tmdsDatabaseStatic","dbo","tblSystemSubdivisionStations","RightLink","10","int","YES"
"tmdsDatabaseStatic","dbo","tblSystemSubdivisionStations","LeftAltLink","11","int","YES"
"tmdsDatabaseStatic","dbo","tblSystemSubdivisionStations","RightAltLink","12","int","YES"
"tmdsDatabaseStatic","dbo","tblSystemSubdivisionStations","AltLinkOne","13","int","YES"
"tmdsDatabaseStatic","dbo","tblSystemSubdivisionStations","AltLinkTwo","14","int","YES"
"tmdsDatabaseStatic","dbo","tblSystemSubdivisionStations","TerritoryAssignment","15","int","YES"
"tmdsDatabaseStatic","dbo","tblSystemSubdivisionStations","Subdivision","16","int","YES"
"tmdsDatabaseStatic","dbo","tblSystemSubdivisionStations","GraphicGroup","17","tinyint","YES"
"tmdsDatabaseStatic","dbo","tblSystemSubdivisionStations","ScreenRegion","18","tinyint","YES"
"tmdsDatabaseStatic","dbo","tblSystemSubdivisionStations","LocIndex","19","int","YES"
"tmdsDatabaseStatic","dbo","tblSystemSubdivisionStations","OrderIndex","20","int","YES"
"tmdsDatabaseStatic","dbo","tblSystemSubdivisionStations","MilePost","21","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblSystemSubdivisionStations","MilePostSuffix","22","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblSystemSubdivisionStations","MileageNext","23","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblSystemSubdivisionStations","SidingLen","24","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblSystemSubdivisionStations","TypeOp","25","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblSystemSubdivisionStations","TrackType","26","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblSystemSubdivisionStations","Spare01","27","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblSystemSubdivisionStations","Spare02","28","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblSystemSubdivisionStations","Spare03","29","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblSystemSubdivisionStations","Spare04","30","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblSystemSubdivisionStations","MilePostChangeEvent","31","bit","YES"
"tmdsDatabaseStatic","dbo","tblSystemSubdivisionStations","Spare06","32","bit","YES"
"tmdsDatabaseStatic","dbo","tblSystemSubdivisionStations","Notes","33","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblSystemSubdivisionStations","MilepostPrefix","34","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblSystemSubdivisionStations","AdditionalReferenceUID","35","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblSystemSubdivisionStations","DispatchablePoint","36","bit","YES"
"tmdsDatabaseStatic","dbo","tblSystemSubdivisionStations","StationSign","37","bit","YES"
"tmdsDatabaseStatic","dbo","tblSystemSubdivisionStations","StationSignType","38","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblSystemSubdivisionStations","ReportingUID","39","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblSystemSubdivisionStations","EntryReportingLeftBoundTracks","40","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblSystemSubdivisionStations","EntryReportingRightBoundTracks","41","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblSystemSubdivisionStations","ExitReportingLeftBoundTracks","42","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblSystemSubdivisionStations","ExitReportingRightBoundTracks","43","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblSystemSubdivisionStations","StandardPointLocationCode","44","nvarchar","YES"
