code_line_number,code_line_name,code_station_number,station_name,control_point_number,control_point_name,subdivision_name,word_type,assignment_count,min_bp_assignment,max_bp_assignment,is_contiguous_assignment_range,derived_word_count,decode_basis
6,CDLN-6,1,OCEAN TC,200000,OCEAN,ESCONDIDO,C,48,1,48,True,6,bp_assignment = word_number * 8 + bit_number (1-based)
6,CDLN-6,1,OCEAN TC,200000,OCEAN,ESCONDIDO,I,48,1,48,True,6,bp_assignment = word_number * 8 + bit_number (1-based)
7,CDLN-7,1,RAILROAD,200002,RAILROAD,ESCONDIDO,C,48,1,48,True,6,bp_assignment = word_number * 8 + bit_number (1-based)
7,CDLN-7,1,RAILROAD,200002,RAILROAD,ESCONDIDO,I,48,1,48,True,6,bp_assignment = word_number * 8 + bit_number (1-based)
8,CDLN-8,1,WYE,200004,WYE,ESCONDIDO,C,48,1,48,True,6,bp_assignment = word_number * 8 + bit_number (1-based)
8,CDLN-8,1,WYE,200004,WYE,ESCONDIDO,I,48,1,48,True,6,bp_assignment = word_number * 8 + bit_number (1-based)
9,CDLN-9,1,CROUCH,200005,CROUCH,ESCONDIDO,C,48,1,48,True,6,bp_assignment = word_number * 8 + bit_number (1-based)
9,CDLN-9,1,CROUCH,200005,CROUCH,ESCONDIDO,I,48,1,48,True,6,bp_assignment = word_number * 8 + bit_number (1-based)
10,CDLN-10,1,TRUE,200003,TRUE,ESCONDIDO,C,48,1,48,True,6,bp_assignment = word_number * 8 + bit_number (1-based)
10,CDLN-10,1,TRUE,200003,TRUE,ESCONDIDO,I,48,1,48,True,6,bp_assignment = word_number * 8 + bit_number (1-based)
11,CDLN-11,1,EL CAMINO,200008,EL CAMINO,ESCONDIDO,C,48,1,48,True,6,bp_assignment = word_number * 8 + bit_number (1-based)
11,CDLN-11,1,EL CAMINO,200008,EL CAMINO,ESCONDIDO,I,48,1,48,True,6,bp_assignment = word_number * 8 + bit_number (1-based)
12,CDLN-12,1,RANCHO,200006,RANCHO,ESCONDIDO,C,48,1,48,True,6,bp_assignment = word_number * 8 + bit_number (1-based)
12,CDLN-12,1,RANCHO,200006,RANCHO,ESCONDIDO,I,48,1,48,True,6,bp_assignment = word_number * 8 + bit_number (1-based)
13,CDLN-13,1,SCHOOL,200007,SCHOOL,ESCONDIDO,C,48,1,48,True,6,bp_assignment = word_number * 8 + bit_number (1-based)
13,CDLN-13,1,SCHOOL,200007,SCHOOL,ESCONDIDO,I,48,1,48,True,6,bp_assignment = word_number * 8 + bit_number (1-based)
14,CDLN-14,1,MELROSE,200009,MELROSE,ESCONDIDO,C,48,1,48,True,6,bp_assignment = word_number * 8 + bit_number (1-based)
14,CDLN-14,1,MELROSE,200009,MELROSE,ESCONDIDO,I,48,1,48,True,6,bp_assignment = word_number * 8 + bit_number (1-based)
15,CDLN-15,1,ANGEL,200010,ANGEL,ESCONDIDO,C,48,1,48,True,6,bp_assignment = word_number * 8 + bit_number (1-based)
15,CDLN-15,1,ANGEL,200010,ANGEL,ESCONDIDO,I,48,1,48,True,6,bp_assignment = word_number * 8 + bit_number (1-based)
16,CDLN-16,1,VISTA,200011,VISTA,ESCONDIDO,C,48,1,48,True,6,bp_assignment = word_number * 8 + bit_number (1-based)
16,CDLN-16,1,VISTA,200011,VISTA,ESCONDIDO,I,48,1,48,True,6,bp_assignment = word_number * 8 + bit_number (1-based)
17,CDLN-17,1,ESCON,200012,CIVIC CTR VISTA,ESCONDIDO,C,48,1,48,True,6,bp_assignment = word_number * 8 + bit_number (1-based)
17,CDLN-17,1,ESCON,200012,CIVIC CTR VISTA,ESCONDIDO,I,48,1,48,True,6,bp_assignment = word_number * 8 + bit_number (1-based)
18,CDLN-18,1,AVENUE,200013,AVENUE,ESCONDIDO,C,24,1,24,True,3,bp_assignment = word_number * 8 + bit_number (1-based)
18,CDLN-18,1,AVENUE,200013,AVENUE,ESCONDIDO,I,48,1,48,True,6,bp_assignment = word_number * 8 + bit_number (1-based)
19,CDLN-19,1,BUENA CREEK,200014,BUENA CREEK,ESCONDIDO,C,24,1,24,True,3,bp_assignment = word_number * 8 + bit_number (1-based)
19,CDLN-19,1,BUENA CREEK,200014,BUENA CREEK,ESCONDIDO,I,48,1,48,True,6,bp_assignment = word_number * 8 + bit_number (1-based)
20,CDLN-20,1,MISSY,200016,MISSY,ESCONDIDO,C,48,1,48,True,6,bp_assignment = word_number * 8 + bit_number (1-based)
20,CDLN-20,1,MISSY,200016,MISSY,ESCONDIDO,I,48,1,48,True,6,bp_assignment = word_number * 8 + bit_number (1-based)
21,CDLN-21,1,PALOMAR,200015,PALOMAR,ESCONDIDO,C,48,1,48,True,6,bp_assignment = word_number * 8 + bit_number (1-based)
21,CDLN-21,1,PALOMAR,200015,PALOMAR,ESCONDIDO,I,48,1,48,True,6,bp_assignment = word_number * 8 + bit_number (1-based)
22,CDLN-22,1,LOOP WEST,200017,LOOP WEST,ESCONDIDO,C,48,1,48,True,6,bp_assignment = word_number * 8 + bit_number (1-based)
22,CDLN-22,1,LOOP WEST,200017,LOOP WEST,ESCONDIDO,I,48,1,48,True,6,bp_assignment = word_number * 8 + bit_number (1-based)
23,CDLN-23,1,SHELLY,200020,SHELLY,ESCONDIDO,C,48,1,48,True,6,bp_assignment = word_number * 8 + bit_number (1-based)
23,CDLN-23,1,SHELLY,200020,SHELLY,ESCONDIDO,I,48,1,48,True,6,bp_assignment = word_number * 8 + bit_number (1-based)
24,CDLN-24,1,LOOP EAST,200019,LOOP EAST,ESCONDIDO,C,48,1,48,True,6,bp_assignment = word_number * 8 + bit_number (1-based)
24,CDLN-24,1,LOOP EAST,200019,LOOP EAST,ESCONDIDO,I,48,1,48,True,6,bp_assignment = word_number * 8 + bit_number (1-based)
25,CDLN-25,1,NORDAHL,200025,NORDAHL,ESCONDIDO,C,48,1,48,True,6,bp_assignment = word_number * 8 + bit_number (1-based)
25,CDLN-25,1,NORDAHL,200025,NORDAHL,ESCONDIDO,I,48,1,48,True,6,bp_assignment = word_number * 8 + bit_number (1-based)
26,CDLN-26,1,HOLDOUT,200026,HOLDOUT,ESCONDIDO,C,48,1,48,True,6,bp_assignment = word_number * 8 + bit_number (1-based)
26,CDLN-26,1,HOLDOUT,200026,HOLDOUT,ESCONDIDO,I,48,1,48,True,6,bp_assignment = word_number * 8 + bit_number (1-based)
27,CDLN-27,1,YARD,200027,YARD,ESCONDIDO,C,48,1,48,True,6,bp_assignment = word_number * 8 + bit_number (1-based)
27,CDLN-27,1,YARD,200027,YARD,ESCONDIDO,I,48,1,48,True,6,bp_assignment = word_number * 8 + bit_number (1-based)
28,CDLN-28,1,AVO,200028,AVO,ESCONDIDO,C,24,1,24,True,3,bp_assignment = word_number * 8 + bit_number (1-based)
28,CDLN-28,1,AVO,200028,AVO,ESCONDIDO,I,24,1,24,True,3,bp_assignment = word_number * 8 + bit_number (1-based)
